song_name,file_size_kb,date_process,wiener_improvement_%,wiener_performance,wiener_time_s,mmse_improvement_%,mmse_performance,mmse_time_s,best_improvement_%,best_performance,best_time_s
4_SZA__Drew_Barrymore_Filtered_Acapella_Vocals_4.wav,2618.04,2025-11-22T20:58:15.463756,6.22,0.78,0.103,8.56,0.79,0.19,8.56,0.79,0.19
12_SZA__Garden_Say_It_Like_Dat_Filtered_Acapella_Vocals_2.wav,767.04,2025-11-22T20:58:15.564934,0.42,0.75,0.03,7.28,0.78,0.055,7.28,0.78,0.055
SZA_Snooze_2.wav,875.04,2025-11-22T20:58:15.704227,-3.78,0.73,0.034,-0.41,0.75,0.089,-0.41,0.75,0.089
2_SZA__Doves_In_The_Wind_3.wav,468.04,2025-11-22T20:58:15.770670,18.43,0.83,0.019,18.29,0.83,0.036,18.43,0.83,0.019
7_SZA__Go_Gina__Filtered_Acapella_Vocals_1.wav,489.04,2025-11-22T20:58:15.837448,6.89,0.78,0.021,8.98,0.79,0.036,8.98,0.79,0.036
7_SZA__Go_Gina__Filtered_Acapella_Vocals_0.wav,4982.04,2025-11-22T20:58:16.468384,-1.3,0.74,0.198,8.64,0.79,0.357,8.64,0.79,0.357
7_SZA__Go_Gina__Filtered_Acapella_Vocals_2.wav,4387.04,2025-11-22T20:58:17.033526,11.06,0.8,0.171,12.52,0.81,0.32,12.52,0.81,0.32
SZA_SOS_1.wav,697.04,2025-11-22T20:58:17.126594,14.66,0.82,0.027,15.9,0.82,0.051,15.9,0.82,0.051
5_SZA__Prom_Filtered_Acapella_Vocals_3.wav,424.04,2025-11-22T20:58:17.185969,1.0,0.76,0.017,9.66,0.8,0.032,9.66,0.8,0.032
SZA_Special_1.wav,3424.04,2025-11-22T20:58:17.625886,12.26,0.81,0.134,13.62,0.82,0.252,13.62,0.82,0.252
SZA_Special_0.wav,4473.04,2025-11-22T20:58:18.205370,12.3,0.81,0.175,13.39,0.82,0.337,13.39,0.82,0.337
5_SZA__Prom_Filtered_Acapella_Vocals_2.wav,7505.04,2025-11-22T20:58:19.154961,10.83,0.8,0.294,11.9,0.8,0.538,11.9,0.8,0.538
SZA_SOS_0.wav,960.04,2025-11-22T20:58:19.282919,11.54,0.81,0.038,13.63,0.82,0.071,13.63,0.82,0.071
5_SZA__Prom_Filtered_Acapella_Vocals_0.wav,5544.04,2025-11-22T20:58:19.979770,8.49,0.79,0.211,10.68,0.8,0.398,10.68,0.8,0.398
SZA_Special_2.wav,1373.04,2025-11-22T20:58:20.161344,10.81,0.81,0.053,11.98,0.81,0.101,11.98,0.81,0.101
14_SZA__Anything_Filtered_Acapella_Vocals_8.wav,3751.04,2025-11-22T20:58:20.648928,11.99,0.81,0.146,12.45,0.81,0.277,12.45,0.81,0.277
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_9.wav,389.04,2025-11-22T20:58:20.708742,17.58,0.84,0.016,17.37,0.84,0.031,17.58,0.84,0.016
10_SZA__Normal_Girl_Filtered_Acapella_Vocals_8.wav,841.04,2025-11-22T20:58:20.818833,13.2,0.82,0.032,14.13,0.82,0.062,14.13,0.82,0.062
SZA_Special_3.wav,452.04,2025-11-22T20:58:20.885235,19.04,0.85,0.017,18.52,0.84,0.035,19.04,0.85,0.017
5_SZA__Prom_Filtered_Acapella_Vocals_1.wav,1147.04,2025-11-22T20:58:21.042475,12.29,0.81,0.047,13.23,0.82,0.088,13.23,0.82,0.088
